Name,ring,quadrant,isNew,description
DAST,Adote,Técnicas,FALSE,"<p>O <strong>Dynamic Application Security Test (DAST)</strong> é uma técnica apoiada por ferramentas utilizada para analisar vulnerabilidades em tempo de execução de um aplicativo. Essa técnica é empregada para identificar vulnerabilidades próximas do deployment ou delivery, ou seja, em fases tardias do ciclo de desenvolvimento. Para realizar a análise, é necessário que o aplicativo esteja em funcionamento em um ambiente de testes. O DAST pode ser incorporado a pipelines CI/CD ou usado de forma autônoma como uma ferramenta independente. É importante ter cuidado com falsos positivos, ou seja, alarmes que indicam erroneamente a presença de vulnerabilidades. Portanto, recomenda-se combinar o uso dessa técnica com outras abordagens complementares para mitigar falsos negativos, ou seja, para evitar a omissão de vulnerabilidades. Exemplos de ferramentas DAST incluem o OWASP ZAP e o Burp Suite Community."
Desenvolvimento Orientado a Comportamento,Adote,Técnicas,FALSE,"<p><strong>Desenvolvimento Orientado a Comportamento</strong>, ou BDD (Behavior-Driven Development), é uma técnica de desenvolvimento de software que busca integrar as perspectivas de negócio, desenvolvimento e qualidade em um processo colaborativo. No BDD, os comportamentos desejados do sistema são expressos por meio de cenários escritos em linguagem natural compreensível para todas as partes interessadas, permitindo a criação de uma especificação executável. Essa abordagem promove a comunicação clara, colaboração e compreensão mútua entre as equipes, garantindo o desenvolvimento alinhado com os requisitos de negócio e a qualidade do software por meio de testes automatizados.Uma ferramenta popular para a implementação do BDD é o Cucumber, que permite a escrita de cenários em formato Gherkin e a geração de testes automatizados a partir desses cenários."
TypeScript,Adote,Linguagens & Frameworks,FALSE,"<p>O <a href=""https://www.typescriptlang.org/"">TypeScript</a> é uma linguagem de programação de código aberto que estende o JavaScript, fornecendo recursos adicionais para o desenvolvimento de software mais escalável e confiável. Com a capacidade de detectar erros em tempo de compilação por meio de tipos estáticos opcionais, o TypeScript auxilia os desenvolvedores a evitar problemas comuns durante o desenvolvimento e a manutenção de aplicativos. Além disso, a linguagem oferece suporte a recursos modernos do ECMAScript, como classes, módulos e arrow functions. <strong>Recomenda-se utilizar o TypeScript em substituição ao JavaScript ao desenvolver aplicações web e mobile com os frameworks React e React Native, respectivamente </strong>."
Integração Contínua,Adote,Técnicas,FALSE,"<p><strong>Integração Contínua</strong> é uma prática fundamental no desenvolvimento de software, na qual os desenvolvedores realizam integrações frequentes de suas alterações de código em um repositório compartilhado. Em seguida, são executados processos automatizados de compilação e testes para verificar a integração do código. Essa abordagem assegura que problemas de integração sejam identificados e corrigidos rapidamente, evitando conflitos e garantindo a estabilidade do software em desenvolvimento. Através da integração contínua, os desenvolvedores têm visibilidade imediata sobre possíveis erros ou incompatibilidades, permitindo uma intervenção ágil e um fluxo de trabalho mais eficiente. Essa prática contribui para a qualidade do software, facilitando a detecção precoce de problemas e a entrega de um produto final mais confiável e robusto."
Melhores práticas de conteinerização,Adote,Técnicas,FALSE,"<p>A construção de um Dockerfile deve seguir boas práticas que trazem inúmeros benefícios, como a redução do tempo de construção da imagem, a diminuição do tamanho da imagem, o aumento da segurança e a simplificação e legibilidade aprimoradas do Dockerfile. Seguir essas boas práticas é fundamental para obter um processo de construção de imagem eficiente e confiável. Um ponto de partida valioso para aplicar essas práticas é o <a href=""https://docs.docker.com/develop/develop-images/dockerfile_best-practices/"">guia de boas práticas fornecido pela própria Docker</a>. Além disso, existem <a href=""https://sysdig.com/blog/dockerfile-best-practices/"">recomendações específicas para segurança</a> que devem ser seguidas. Ao aderir a essas diretrizes, é possível garantir imagens Docker otimizadas, seguras e de fácil gerenciamento, resultando em um ambiente de desenvolvimento e implantação mais eficiente e confiável."
Micro Serviços,Adote,Técnicas,FALSE,"<p>O <strong>Microserviços</strong> é um estilo de arquitetura que envolve o desenvolvimento de uma aplicação como um conjunto de serviços independentes, cada um executando seu próprio processo e se comunicando por meio de mecanismos leves. Esses serviços são construídos em torno de domínios de negócios específicos e são implantados de forma independente e totalmente automatizada. A abordagem do microserviço minimiza a necessidade de um gerenciamento centralizado e permite que cada serviço seja escrito em diferentes linguagens de programação e utilize diversas tecnologias de armazenamento de dados. Ao adotar essa arquitetura, as aplicações podem se tornar mais escaláveis, flexíveis e resilientes, permitindo o desenvolvimento e a implantação ágeis de novas funcionalidades. Além disso, os microserviços promovem uma melhor modularidade e facilitam a manutenção e o teste individual de cada serviço, melhorando a eficiência e a qualidade geral do sistema. <strong> O uso de microsserviços deve ser feito com moderação e aplicado apenas em cenários onde seja tecnicamente e comercialmente vantajoso. É importante avaliar cuidadosamente se essa abordagem atende às necessidades específicas do projeto e traz benefícios reais para o negócio. </strong>
"
Revisão de Código,Adote,Técnicas,FALSE,"<p>A <strong>Revisão de Código</strong> é um processo essencial no desenvolvimento de software, no qual membros de uma equipe examinam o código desenvolvido, detectando potenciais problemas e oferecendo recomendações ou sugestões de melhorias antes que ele seja integrado. Essa prática colaborativa garante a qualidade do código, identifica erros e falhas de lógica, e promove a adoção de boas práticas de programação. A revisão de código é uma oportunidade para compartilhar conhecimento, aprender com os colegas e aprimorar a consistência e a legibilidade do código-fonte. Além disso, ela ajuda a identificar e corrigir possíveis problemas de segurança, melhorando a robustez e confiabilidade do software desenvolvido. Ao incorporar a revisão de código em um fluxo de trabalho, as equipes podem garantir a entrega de um software de alta qualidade, minimizando erros e aumentando a eficiência e colaboração dentro do time de desenvolvimento."
SAST,Adote,Técnicas,FALSE,"<p>O <strong>Static Application Security Test (SAST)</strong> é uma técnica essencial, apoiada por ferramentas, para a análise de vulnerabilidades no código-fonte, permitindo a detecção antecipada de possíveis falhas de segurança. Essa abordagem pode ser aplicada durante a fase de codificação, por meio da integração com IDEs, na compilação ou na geração de builds. Além disso, as ferramentas SAST podem ser integradas a pipelines CI/CD ou usadas de forma autônoma (standalone). No entanto, é necessário ter cautela na triagem de falsos positivos, evitando alarmes falsos que possam prejudicar a eficiência do processo. A técnica de SAST deve ser complementada por outras abordagens para mitigar falsos negativos, garantindo a identificação abrangente de vulnerabilidades. Algumas ferramentas que auxiliam nessa técnica são o SonarQube, o HoruSec e o cppcheck. Ao aplicar o SAST como parte do processo de desenvolvimento, é possível fortalecer a segurança do software, identificando e corrigindo potenciais vulnerabilidades antes mesmo da implantação, garantindo assim um produto final mais confiável e protegido contra ameaças de segurança."
Testes Unitários Automatizados,Adote,Técnicas,FALSE,"<p>Os <strong>testes unitários</strong> são uma prática fundamental no desenvolvimento de software, focada na verificação e validação de pequenas unidades de código, como funções, métodos ou classes individuais. Esses testes têm como objetivo garantir que cada unidade funcione corretamente e de forma isolada, independentemente do resto do sistema. Ao criar casos de teste específicos para cada unidade, os desenvolvedores podem identificar e corrigir erros precocemente, aumentando a qualidade do software e facilitando a manutenção futura. Os testes unitários podem ser automatizados e executados repetidamente à medida que o código é modificado, permitindo a detecção rápida de regressões e problemas de integração. Essa abordagem contribui para a construção de um código mais confiável, robusto e de fácil manutenção, promovendo a confiança e a eficiência no desenvolvimento de software."
Testes Automatizados E2E,Adote,Técnicas,FALSE,"<p>Os <strong>testes automatizados end-to-end (E2E)</strong> são uma prática essencial no desenvolvimento de software, voltada para a validação completa do fluxo de um sistema, simulando interações realistas do usuário. Esses testes abrangem múltiplos componentes e camadas da aplicação, desde a interface do usuário até a integração com bancos de dados e serviços externos. Ao reproduzir cenários de uso reais, os testes automatizados E2E ajudam a identificar problemas de funcionalidade, usabilidade e integração, garantindo que o sistema atenda aos requisitos e expectativas do usuário final. A automação desses testes permite a execução rápida e consistente, aumentando a eficiência dos processos de teste e auxiliando na implementação contínua. Os testes automatizados E2E são uma peça-chave para assegurar a qualidade e a confiabilidade de uma aplicação, proporcionando uma experiência satisfatória ao usuário final."
